food_ID,recipe_title,tags,cuisine,course,diet,category
0,Roasted Peppers And Mushroom Tortilla Pizza ,Party Food s|Tea Party s|Mushroom s|Fusion s|Tortilla |Bell Peppers s,Mexican,Dinner,Vegetarian,Pizza s
1,Thakkali Gotsu  | Thakkali Curry | Spicy & Tangy Tomato Gravy,Vegetarian s|Tomato s|South Indian s|Breakfast  Ideas,South Indian s,Lunch,Vegetarian,Indian Curry s
2,Spicy Grilled Pineapple Salsa ,Party Starter & Appetizer s|Pineapple s|Salsa s,Mexican,Side Dish,Vegetarian,Mexican s
3,Karwar Style Dali Thoy  - Toor dal Curry,Side Dish s|South Indian s|Indian Lunch s|Indian Vegetarian s|Toor Dal s (Pigeon Pea),Coastal Karnataka,Side Dish,High Protein Vegetarian,Indian Curry s
4,Rajma Kofta In Milk And Poppy Seed Gravy ,Side Dish s|Indian Lunch s|Office Lunch Box s|Rajma Kidney Bean s|Poppy Seeds s,North Indian s,Side Dish,High Protein Vegetarian,Kofta s
5,Barnyard Millet Mushroom Biryani ,Vegetarian s|Indian Lunch s|Office Lunch Box s|Healthy s|Mushroom s|Millet s|Barnyard Millet (Sama) s,Indian,Lunch,Vegetarian,Biryani s
6,Mexican Green Sauce  ,Side Dish s|Party Starter & Appetizer s|Coriander s|Tahini s,Mexican,Side Dish,Vegetarian,"Homemade Jams, Sauce & Pesto s"
7,Karnataka Style Avarekalu Chitranna  (Field Beans Tossed With Lemon Rice),South Indian s|Indian Lunch s|Festival s|Ganesh Chaturthi s|Lemon s|Dussehra Festival s|Avarakkai s (Broad Bean),Karnataka,South Indian Breakfast,Vegetarian,Variety Rice (Mixed Rice/ Flavoured Rice s)
8,Schezwan Style Chinese Veg Samosa  - Roz Ka Khana with Figaro Olive Oil,Tea Party s|Party Starter & Appetizer s|Sooji s (Rava/ Semolina)|Cabbage s (Patta Gobi)|Samosa |Fusion s,North Indian s,Snack,Vegetarian,Indian Chinese s
9,Pineapple Upside Down Cake ,Party Food s|Tea Party s|Birthday Party Cakes|Pineapple s|Birthday Party s,Continental,Dessert,Vegetarian,Cake s
10,Matar Butter Masala ,Party Food s|Vegetarian s|Indian Lunch s|Office Lunch Box s|Green Peas (Matar/ Pattani) s|Weekend Lunch s,North Indian s,Lunch,Vegetarian,Sabzi s
11,Cheesy Rice Poppers ,Party Food s|Tea Party s|Cheese s|After School Snack s|Leftover recipes,Continental,Dinner,Vegetarian,Continental Party Appetizer & Starter s
